metabolite,samples_variance_samples,dataset
Acylcarnitine_12_1,1490326838.01772,samples
Acylcarnitine_15_3,8875745754.00788,samples
BMP_37_7__15_1_22_6,15100130.6742282,samples
CE_20_3,144575446.509351,samples
CerNS_36_3__d18_2_18_1,7839779.06040268,samples
CerNS_ 38_3__d18_2_20_1,8446290.69302013,samples
CSH_posESI_004,41922224.8803579,samples
CSH_posESI _022,87344847.6851902,samples
CSH_posESI_041,1706363331.97154,samples
CSH_posESI_057,6526682.82008949,samples
CSH_posESI_215,98571909.6642506,samples
CSH_posESI_275,3349959.48210291,samples
CSH_posESI_288,75897284.9710962,samples
CSH_posESI_296,30403615.5771365,samples
DG_36_4,22724594.9770022,samples
DG_34_2__16_0_18_2,207025280.928009,samples
DG_34_3__16_0_18_3,375225132.143356,samples
DG_34_4__16_1_18_3,7919945.63583893,samples
DG_36_4__18_2_18_2,299166819.52076,samples
DG_36_5__18_2_18_3,817722405.240492,samples
DG_36_6__18_3_18_3,3517046219.9306,samples
DGDG_32_0__16_0_16_0,4469236903.41047,samples
DGDG_32_1__16_0_16_1,2457774.38572707,samples
DGDG_34_0__16_0_18_0,19121354.8851902,samples
DGDG_34_1__16_0_18_1,498999802.804519,samples
DGDG_34_2__16_0_18_2,11134605210.2939,samples
DGDG_34_4__16_1_18_3,23768561.8790157,samples
DGDG_35_2__17_0_18_2,13899946.5425056,samples
DGDG_35_3__17_0_18_3,408153747.376331,samples
DGDG_35_6__17_2_18_4,23468477.9116331,samples
DGDG_36_2__18_0_18_2,215305582.97557,samples
DGDG_36_3__18_0_18_3,52120307818.6322,samples
DGDG_36_4__18_1_18_3,1616777659.58318,samples
DGDG_36_6__18_3_18_3,266304175272.015,samples
DGDG_38_2__20_0_18_2,2491147.11449664,samples
DGDG_38_5__20_1_18_4,19485271.6030873,samples
DGDG_38_6__18_3_20_3,624050772.147472,samples
DGDG_40_2__22_0_18_2,5761684.76402684,samples
DGDG_42_2__24_0_18_2,12770857.7936913,samples
DGDG_42_3__24_0_18_3,6290305.65552573,samples
DGDG_43_3__25_0_18_3,6557126.49973154,samples
DGDG_44_2__26_0_18_2,21243929.8822819,samples
GlcCerNS_34_3__d18_2_16_1,32485521.4426846,samples
GlcCerNS_36_3__d18_2_18_1,840233339.03821,samples
GlcCerNS_40_3__d18_2_22_1,78342067.790425,samples
GlcCerNS_42_3__d18_2_24_1,69050771.4297987,samples
LPC_16_0,1172216371.51324,samples
LPC_18_0,17015503.4795973,samples
LPC_18_1,3221710051.00385,samples
LPC_18_2,307511447595.001,samples
LPC_18_3,158220485559.269,samples
LPC_20_5,5491624.80988814,samples
MGDG 34_1__16_0_18_1,16801232.466264,samples
MGDG_34_2__16_0_18_2,913796389.319195,samples
MGDG_34_3__16_0_18_3,82648421556.6463,samples
MGDG_34_4__16_1_18_3,184280418.325235,samples
MGDG_34_6__16_3_18_3,128959360.723445,samples
MGDG_35_3__17_0_18_3,347575403.615928,samples
MGDG_36_3__18_1_18_2,260653598.544116,samples
MGDG_36_4__18_2_18_2,45376520075.6097,samples
MGDG_36_6__18_3_18_3,335168099828.893,samples
MGDG_36_7_18_3_18_4,97699644.7144966,samples
MGDG_38_1__16_0_22_1,44576584.1737807,samples
MGDG_38_5__20_2_18_3,49129257.7259955,samples
MGDG_38_6__18_3_20_3,784928566.726667,samples
PC_31_0,22571588.6617002,samples
PC_32_0,1736660758.07606,samples
PC_32_1,25213637.2144966,samples
PC_32_2,128168127.682371,samples
PC_33_2,274655698.364027,samples
PC_34_0,3508754.04120805,samples
PC_34_1,80171119274.4888,samples
PC_34_2,1515744949.34895,samples
PC_34_4,72385174.6935123,samples
PC_35_2,1015684856.36336,samples
PC_36_1,682091394.724117,samples
PC_36_2,22131669997.7144,samples
PC_36_3_A,86685502952.4165,samples
PC_36_4_C,262334051.262685,samples
PC_36_5_B,35428203.0590157,samples
PC_38_2,11871059.5134228,samples
PC_38_3,234947426.481476,samples
PC_38_5_A,32505611.36,samples
PC_34_2__16_0_18_2,47309728.2843848,samples
PC_34_3__16_0_18_3,168349072492.989,samples
PC_36_5__18_2_18_3,99248729934.5442,samples
PC_36_6__18_2_18_4,1552069472.51942,samples
PC_36_6__18_3_18_3,172156816594.334,samples
PC_38_4__18_2_20_2,443571769.696868,samples
PC_38_5__20_2_18_3,214876194.691767,samples
PC_42_3__16_1_26_2,23579523.2421029,samples
PE_34_2,33584391546.1092,samples
PE_p38_5_o38_6,10198790.8710962,samples
PE_34_1__16_0_18_1,2146449568.19042,samples
PE_34_4__16_1_18_3,356184481.116599,samples
PE_36_2__18_0_18_2,21503670.8717673,samples
PE_36_3__18_0_18_3,561886137.950827,samples
PE_36_5__18_2_18_3,1669098836.38966,samples
PE_36_6__18_3_18_3,337485779.911633,samples
PE_38_7__22_3_16_4,43844841.6850559,samples
PE_42_2__21_1_21_1,33922367.9663982,samples
PE_42_3__26_0_16_3,75548578.3375392,samples
PG_32_0__16_0_16_0,865123833.719732,samples
PG_32_1__16_0_16_1,2731449829.76573,samples
PG_34_2__16_0_18_2,10998997700.887,samples
PG_34_3__16_0_18_3,22882924778.3859,samples
PG_34_4__16_0_18_4,99955994959.9295,samples
PG_34_4__16_1_18_3,8802915.81069351,samples
PG_34_5__16_1_18_4,30696208.1979866,samples
PG_36_6__18_3_18_3,18201766.4144966,samples
PlasmenylPC_32_2__P14_0_18_2,305145299.871365,samples
PlasmenylPC_35_2__P14_0_21_2,18397228.0805369,samples
PlasmenylPC_36_2__P14_0_22_2,6842566239.56886,samples
SM_d40_1,16598670.2774049,samples
SM_39_10__d17_3_22_7,52268636.0770022,samples
SM_39_9__d16_3_23_6,12385595.458613,samples
SM_40_4__d16_2_24_2,32538033.4468009,samples
SM_40_5__d16_1_24_4,165906367.629754,samples
SQDG_32_0_16_0_16_1,4838437.86237136,samples
SQDG_34_0__16_0_18_1,13368362.1575391,samples
SQDG_34_2__16_0_18_3,69359566176.1711,samples
SQDG_35_2__17_0_18_3,12449706.5143624,samples
SQDG_36_2__18_0_18_3,667304976.189754,samples
SQDG_42_1__16_0_16_0,35237848283.415,samples
SQDG_45_1__18_2_18_2,465138351.14613,samples
TG_14_0_14_0_14_0,3040626.30425056,samples
TG_46_0,64636359.2690828,samples
TG_46_1,138794226.7617,samples
TG_46_2,53632134.2294855,samples
TG_48_0,75972342.3294855,samples
TG_48_1,469559650.112036,samples
TG_48_2,209108747.206666,samples
TG_49_0,14256351.0702908,samples
TG_49_1,98450648.2185235,samples
TG_49_2,23945135.3823714,samples
TG_49_3,3301001.93449664,samples
TG_50_0,12700560.2147651,samples
TG_50_5,2285569.21651007,samples
TG_52_3,4822161.79995526,samples
TG_52_4,3658447158.64559,samples
TG_52_5,6358502304.59221,samples
TG_53_2,3989318.46196868,samples
TG_54_3,39972357.3251006,samples
TG_54_4,5554769.1744519,samples
TG_54_5,46809108.2795973,samples
TG_54_6,42010283568.0306,samples
TG_54_8,75505841119.2072,samples
TG_56_3,1343735.51123042,samples
TG_56_6,7720710.96,samples
TG_58_6,56603639.1051901,samples
TG_46_3__12_1_12_1_22:1,694746403.446264,samples
TG_46_7__14_2_15_3_17_2,489088617.453423,samples
TG_48_3__14_0_16_0_18_3,18923509.469396,samples
TG_48_5__12_0_18_2_18_3,12797891.7817002,samples
TG_50_1__16_0_16_0_18_1,30931445.1051902,samples
TG_50_2__16_0_16_0_18_2,372862167.479016,samples
TG_50_3__16_0_16_0_18_3,250333881.792439,samples
TG_52_1__16_0_18_0_18_1,26153752.693557,samples
TG_52_2__16_0_18_1_18_1,89373237.495123,samples
TG_52_3__16_0_18:1_18_2,291171163.289888,samples
TG_52_4__16_0_18_2_18_2,3811251386.73472,samples
TG_52_5__16_0_18_2_18_3,7555250467.65499,samples
TG_52_6__16_0_18_3_18_3,20507462365.3657,samples
TG_53_14__16_5_16_5_21_4,163787960.840089,samples
TG_53_5__17_0_18_2_18_3,1301589.61055928,samples
TG_54_1__18_0_18_0_18_1,9211643.48657719,samples
TG_54_2__18_0_18_1_18_1,11585689.4194183,samples
TG_54_4__18_1_18_1_18_2,289111807.161342,samples
TG_54_5__18_1_18_2_18_2,2573610676.27566,samples
TG_54_7_18_2_18_2_18_3,73729732385.3146,samples
TG_54_9__18_3_18_3_18_3,1017671562.11137,samples
TG_55_2__16_0_18_1_21_1,614548.066935123,samples
TG_56_4__18_2_18_2_20_0,1360182.12331096,samples
TG_56_5__18_2_18_3_20_0,5614766.79713647,samples
TG_56_6__18_2_18_2_20_2,7792141.66371364,samples
TG_56_7__18_2_18_3_20_2,3820674.209217,samples
TG_58_15__14_3_22_6_22_6,46404766.8460402,samples
