ID,FIELD,GENOTYPE,TG_50:3,TG_52:4,TG_52:5 ,acylcarnitine_15:3,LPC_18:3 ,LPC_18:2,LPC_16:0,LPC_18:1,LPC_18:0,PC_16:0_9:0_CHO ,BMP_37:7__15:1_22:6,PG_34:5__16:1_18:4,SM_39:10__d17:3_22:7,CSH_posESI_027,MGDG_36:6__18:3_18:3,PG_36:7__18:3_18:4,DGDG_35:6__17:2_18:4,SQDG_38:5__18:3_20:3,SQDG_36:4__18:2_18:3,SQDG_34:3__16:1_18:3,DGDG_34:5__16:2_18:3,PE_36:6__18:3_18:3,MGDG_34:6__16:3_18:3,SM_39:9__d16:3_23:6,PC_36:6__18:3_18:3,MGDG_36:6__18:3_18:3,SQDG_34:2__16:0_18:3,PG_34:4__16:0_18:4,DGDG_35:5__17:2_18:3,SQDG_45:1__18:2_18:2,MGDG_36:7__18:3_18:4,MGDG_36:6__18:3_18:3,DGDG_34:4__16:1_18:3,PC_36:5_A ,DGDG_33:3__15:0_18:3,PE_36:5__18:2_18:3,DGDG_38:6__18:3_20:3,PC_34:4,DGDG_34:4__16:1_18:3,SQDG_36:2__18:0_18:3,PC_32:2,GlcCerNS_34:3__d18:2_16:1,PG_34:2__16:0_18:2,MGDG_34:4__16:1_18:3,PC_34:3,PC_36:6__18:2_18:4,SQDG_42:1__16:0_16:0,PC_36:4_A,DGDG_36:4__18:1_18:3,PG_32:1__16:0_16:1,MGDG_36:6__18:2_18:4,PC_33:2,DGDG_38:5__20:1_18:4,MGDG_38:6__18:3_20:3,MGDG_34:4__16:1_18:3,CSH_posESI_288,PC_36:4_B ,PC_32:1,DGDG_35:3__17:0_18:3,PC_38:5_A ,PG_32:0__16:0_16:0,CSH_posESI_296,DGDG_32:1__16:0_16:1,DG_36:6__18:3_18:3,DGDG_34:2__16:0_18:2,MGDG_34:3__16:0_18:3,GlcCerNS_36:3__d18:2_18:1,PC_36:3_A ,PE_34:2,PC_38:4__18:2_20:2,CSH_posESI_041,PC_36:3_B ,MGDG_38:5__20:2_18:3,PE_32:0__16:0_16:0,PC_35:2,MGDG_36:6__18:3_18:3,MGDG_35:3__17:0_18:3,SM_40:5__d16:1_24:4,PE_36:3__18:0_18:3,CSH_posESI_004,DGDG_32:0__16:0_16:0,plasmenylPC_35:2__P14:0_21:2,DG_36:5__18:2_18:3,DGDG_34:1__16:0_18:1,SM_40:4__d16:2_24:2,MGDG_34:2__16:0_18:2,PC_34:1,MGDG_36:3__18:1_18:2,DG_34:4__16:1_18:3,DGDG_36:2__18:0_18:2,PC_36:2 ,MGDG_36:3__18:0_18:3,PC_38:3 ,plasmenylPC_36:2_P14:0_22:2,DG_36:4,PC_35:1,CerNS_38:3__d18:2_20:1,GlcCerNS_38:3__d18:2_20:1,DG_36:4__18:2_18:2,MGDG_34:1__16:0_18:1,DG_34:3__16:0_18:3,PC_34:0 ,PC_36:1,PC_38:2,CSH_posESI_022,TG_58:14__19:5_19:5_20:4,TG_54:8,TG_50:5,TG_52:6,TG_50:4 ,TG_53:5 ,TG_49:2 ,TG_53:4 ,TG_54:5,TG_50:2,TG_52:3 ,TG_54:4 ,TG_54:4 ,TG_54:2,TG_56:2 ,TG_54:1 
23,NAYARIT,B73,65532,613408,680927,133787,1143014,2907399,54437,148850,8328,23793,42270,25168,28310,310322,14621,12083,27534,10451,916243,9703,8735,14428,35771,15509,794367,754664,1481086,1423406,9544,151897,27753,18952,24605,3676040,7720,122093,100911,53857,35222,127397,48646,47192,450948,42520,2908354,42578,1037614,3304921,192538,259792,55969,74909,22591,71094,38524,21156,19044,23152,85003,19756,175107,16338,9443,80885,480665,845120,90120,602431,592585,89167,35897,542028,38576,2468,75798,555685,32676,22109,9626,10350,227664,14365,181923,72246,5082,217830,838506,37089,13012,96256,913375,100362,31687,582798,11030,10431,26935,254915,123107,20748,124616,9780,55144,19220,14871,14857,1389942,18442,13953,7086,8269,4379,5918,274046,190026,5620,103433,8031,1512,5364,10295
24,NAYARIT,B73,64071,531330,586220,155539,1621339,3907762,86895,209946,15477,22318,28344,20957,21603,285246,13777,12886,26383,10573,880063,9775,8865,14036,35768,14929,756842,776790,1470453,1337977,8510,150612,25415,16852,24742,3440959,6839,126244,94453,49350,31898,144072,42327,49133,430026,40894,2578169,38244,1047685,3204014,180077,270945,50238,66159,19517,67863,38541,21757,18279,21692,69751,17729,191516,18436,5287,80336,433255,841142,107031,642072,604539,86449,32403,503774,33871,3915,69782,540162,27940,25215,9297,5230,209325,13602,201393,66086,4294,148084,764788,30764,15227,88970,849474,94690,23862,579111,12662,9786,26726,255120,126073,10771,120150,6604,50523,21147,21561,12445,1261258,15281,6319,6634,7365,5613,6251,237302,185055,1349,94105,7161,1471,5662,10886
25,NAYARIT,B73,80595,523371,622950,213418,658451,1773208,128296,126062,10826,17411,20718,18976,54278,335034,30756,18666,42520,16164,899762,15108,15111,18524,80293,19427,896149,509332,2222385,1598725,14762,81093,61084,14465,54538,1914682,11772,132198,166635,88172,78972,186400,39555,58674,646648,106388,2768613,26829,1123479,2745265,240618,366245,103560,131562,30695,133009,81839,21432,15763,28413,174945,37393,183363,22645,11014,177521,677704,1217966,112896,899125,439606,101500,41771,880147,48355,50367,147438,671850,29056,18430,14801,8732,336336,17551,275155,103965,16713,360714,1094702,47159,22920,140045,1076147,185240,62941,706430,18789,17407,30629,294540,115932,32719,140837,10951,64142,24433,20408,17486,1027869,23570,8672,13365,7476,4789,7059,140942,229202,7788,69207,8684,991,6362,12123
26,NAYARIT,B73,68019,541803,553741,213793,912859,2936893,209690,169816,22253,14839,24115,19464,34870,299766,19598,12809,30396,13156,732032,8102,9507,10078,42104,14357,797778,344792,2255157,1237683,11423,105135,41325,21005,26429,3189571,11192,96139,113610,56856,45825,179853,50349,59464,465641,36825,2743719,22262,1189800,2677102,214027,265202,48337,135564,20096,75448,56777,25024,10717,22146,103761,21110,140994,18580,5867,169180,651878,1153831,65683,739371,326034,93506,43189,791911,30698,49295,139446,625776,41480,21288,13573,13011,264139,15678,264261,82004,18629,270153,681709,48588,22851,124449,1145064,131850,45412,691444,19066,10994,31862,266246,127180,21772,114829,9541,41941,33719,23242,20300,1076651,22615,5750,13874,5712,4827,7448,379723,218017,9291,74371,8329,1282,6347,12936
27,METEPEC,CML312,67632,339749,518426,513461,561173,1081916,96794,139111,20159,41701,16249,20423,30196,291580,6489,5963,19349,11494,507127,18081,6759,18261,9951,15600,1165699,899047,2652846,848492,9408,89332,15209,18054,22264,3706787,8585,77455,70030,57974,40457,186832,34187,89213,309354,41584,4542790,73909,1627812,2702049,205308,174988,26280,85063,16442,39097,37055,24751,48233,39721,71426,17639,124229,25053,10538,123343,1339077,1080514,192152,630322,389626,66142,81497,853892,22547,58797,158618,594723,43004,11684,21790,14700,288934,19079,115775,136961,14165,269285,813713,39940,8466,157592,773684,103314,33248,744102,2722,13082,37108,327991,44708,25359,79941,10094,71406,31133,4525,11621,357299,2150,6231,2442,5553,9053,6951,67433,198897,6765,66397,8560,1850,5973,13583
28,METEPEC,CML312,93682,400148,638868,114181,507332,1149912,125606,153429,32351,30164,17244,25609,20643,386627,18763,14558,22478,12482,569902,21894,0,35258,23058,19499,939696,1175823,3307541,986728,8327,104837,34473,30099,37257,2881877,22571,161665,80985,52784,47224,164359,32199,111120,402909,60989,3827655,56900,1778378,2228911,174230,209349,27199,75287,17808,43431,53388,19668,17973,25569,106829,11254,169435,21826,13896,176627,1123570,1312788,253041,542995,657837,52540,90701,674780,30440,77656,135022,401593,57487,29785,29616,17079,352952,27934,150467,125080,12816,312692,750347,38995,16372,147075,598789,135505,29609,1048623,6853,15294,51486,443119,51057,32435,133278,13267,41053,22162,14667,22931,551847,7022,24227,2228,4644,10596,3678,94201,176293,8234,60488,6876,2462,7605,18535
29,METEPEC,CML312,24176,224408,396565,419106,786550,1665914,107000,130265,27666,34528,23083,22655,30876,340349,13783,4559,23590,10270,563743,17277,6619,29678,23408,15243,1113009,981230,2282724,964658,5284,89673,29908,21308,26019,3790783,10863,160681,81876,60555,43024,149304,41662,64717,350615,47023,4518583,79391,1375643,2907819,170573,202224,42568,68366,13625,49263,45371,23620,19333,32794,85427,8497,140025,13893,7284,60771,836448,1226675,179241,686050,671304,70343,41727,713075,20359,45149,144805,320048,50130,23969,23460,13670,276850,19185,126309,103149,15581,243205,851929,39083,12943,120398,755152,115521,37798,741660,5311,16553,35824,319681,60131,26231,87700,12153,43198,27739,11704,18473,546945,8154,5304,4288,5531,5579,3393,71709,166009,3935,54149,4882,2026,1499,11464
30,METEPEC,CML312,49955,310553,553108,530753,930392,1916432,107014,117128,15117,35248,27081,15482,27726,315000,13804,6279,24345,11396,557283,15097,6238,40613,15050,15139,1532533,1046040,2039139,798508,7029,81682,28926,21620,24786,4060922,13063,171202,89167,55415,39145,146239,34937,56537,358429,49963,4483859,83759,1424869,2752223,143483,196476,44174,82043,13976,46215,37408,17957,15297,26634,76533,9833,145584,16893,6835,93301,579532,1091120,117025,633915,618584,63824,67514,781671,20717,50499,110597,227356,42307,35301,29053,16452,291543,16896,166479,68356,25746,185075,754338,19839,6872,98255,685634,111290,33233,539320,6106,10977,24533,214981,63122,20388,115128,10228,39437,28310,13052,18356,725143,6938,15405,4464,5601,1644,2822,88126,183499,5108,67856,4860,2156,1736,13781
31,METEPEC,CML312,49582,306942,522083,681485,617907,1172674,84759,72496,11797,68065,25732,19428,37724,241962,13486,4572,24102,11553,527897,12814,7736,27817,24779,15419,1522978,820676,1861679,840482,5370,61370,29629,22994,31928,4633004,16515,143188,95429,55571,42463,129654,54804,65976,303140,43142,4792265,78112,1333627,3196305,184728,153858,42139,99462,15353,52188,47937,12563,17400,42478,100295,12829,121499,14722,10947,26515,775310,936415,111675,805256,570034,79667,40800,857995,23290,33280,162185,187598,56795,21508,21618,11264,284315,18376,147050,132961,12274,289653,945309,5418,14092,124697,889175,79638,42366,658426,4409,13953,30399,278983,31117,27644,82941,11147,51339,37538,16188,11348,326696,6766,10007,4187,5033,2103,2192,28794,155524,5001,36287,2531,1699,1790,9808
32,METEPEC,CML312,158575,367272,706952,238403,509020,1031640,87414,111440,15343,30641,19172,12345,34305,314051,12958,5544,21368,10668,598800,11891,3403,65575,22682,15638,1983549,849799,2128633,774654,6721,71989,14314,19360,28227,4279892,8902,174301,112673,60943,40448,178041,36912,54376,273716,42716,5714615,83662,1304229,1702368,161664,197752,45570,72673,16362,72955,49577,19463,25433,28763,83789,13910,120365,13427,9045,153273,640823,1399440,69965,474810,369367,48271,50070,1413439,24460,51169,100609,225479,56687,18729,39771,8119,270943,13483,155699,77148,23929,200062,756457,41678,13206,112985,837560,187824,24966,486267,3737,12461,22058,201827,44265,20370,131376,10730,54472,37657,13319,12006,605036,3047,19994,3492,7939,5111,6305,104544,174938,9849,66487,6832,1733,9352,11347
33,METEPEC,CML312,97115,491067,478051,341463,818471,1434560,142323,159722,37077,3439,4039,14749,37247,262539,242,8293,16699,17701,264507,3924,5568,24286,15290,17204,1624113,1039583,3145028,535424,1399,45604,36117,23357,30413,4157383,4908,112645,86332,34470,20881,192656,30930,95672,199644,29206,4270350,75278,1395190,3082368,140213,98842,21530,55320,2029,45549,75606,6319,19985,30954,42619,2194,71722,20806,4496,184743,721774,2117520,190815,514134,490095,55617,63006,586776,10870,61524,143694,810375,39138,13140,39413,326,191754,23731,155735,91357,5279,120990,414149,25093,16617,103997,444131,70751,21868,624305,10213,4249,38550,279338,72082,20104,78682,4348,30076,30794,6615,17256,85198,25769,9561,12525,5449,7201,5040,186647,273924,5806,33284,2986,2147,10320,11422
34,METEPEC,CML312,93540,551072,508078,460752,940009,1320765,142421,149799,14632,17584,7286,11055,41703,263258,19088,12544,27032,18248,290851,12242,9170,18533,25221,18051,949883,1094392,3728626,799262,10887,49343,50788,20649,29291,4384103,9165,88530,105265,51366,46185,49469,31182,74656,190875,35434,5501700,107995,635090,2469309,184924,149324,39487,45436,8766,86412,73561,10358,23204,33857,61004,25373,34620,4924,5474,168319,935160,1461535,194429,423211,319210,61666,70842,534759,14761,60631,88913,783363,48600,10764,5868,3896,239350,6458,154629,102132,7754,194871,488553,20314,15714,95065,352177,79313,26011,691582,3352,5042,33488,305727,59687,19329,65907,7696,9709,23621,7111,26120,110366,24267,13337,11828,5400,6111,5735,191800,265516,4344,29468,2649,1850,6585,11694
35,METEPEC,CML312,22730,265150,453641,241407,742144,1567378,104107,114256,19831,31851,24433,22206,34059,352646,12187,6374,23013,9042,558299,15768,3012,22690,23702,13582,1087535,1014269,1969782,904828,5297,90202,25768,20501,24792,3981153,11213,144301,76825,54287,37534,138710,45031,86144,361252,51440,3925479,58466,1375252,3457812,155997,204137,39922,82153,14429,43321,29004,30627,15744,36093,89823,9511,143933,23353,7354,67343,773977,1012169,169478,840744,671463,78673,41206,788058,19977,48948,155613,184732,47856,24487,20934,14107,285069,25796,118496,102674,16826,241063,936352,46278,7237,126234,918890,120181,46140,915545,6515,11192,45335,399850,58428,26153,92895,10733,58257,30615,13262,18530,618774,8284,3411,4791,5442,6273,3483,84781,168687,4357,61608,5040,2091,1372,12057
36,NAYARIT,CML312,94490,452834,646925,239432,617387,1983897,413745,181758,31450,31017,44287,49654,74848,330798,15263,13297,25726,12785,128621,9737,7783,29545,30082,17829,810281,1520929,2147438,1398511,10103,55586,38301,18666,33732,3203167,9144,204135,106845,82074,39097,104185,68230,65134,231935,64270,2630314,78486,1004102,2585761,209649,196120,35000,100179,14452,96093,68283,28710,26607,45473,106362,15788,129403,14341,7498,135166,491925,1179052,158702,1403655,826940,145957,38143,719859,32210,58992,169569,634413,57481,16040,18381,9068,220164,18263,167304,108586,9357,270479,1673594,62674,13576,93761,875878,108078,96239,721999,10681,22499,32986,308842,71892,28576,92356,7618,92431,28337,16259,8652,379802,22023,14594,12417,7423,5673,6164,126503,221345,5577,60081,6657,1481,6161,11148
37,NAYARIT,CML312,102886,513054,696104,153938,576461,1595431,505898,169993,55542,41163,41576,47942,60784,252155,12822,6005,22050,8239,399748,9174,5077,14248,23858,14667,1200085,558424,1142791,1199468,7886,90449,23339,16145,28719,4145878,9023,177192,87964,60218,36468,90220,44840,50296,361575,33211,4753067,68704,802353,2811877,186746,221626,36192,78631,19980,62996,49765,30454,9914,38798,97187,12201,165435,13042,11301,68665,529613,1065803,110054,831340,735280,95593,28886,872307,31547,6445,88614,537810,39933,25070,14158,6005,192782,13300,142953,87272,11701,221901,1403340,44232,12250,106223,1049779,108047,37123,542178,7449,18667,25321,235157,63922,29612,115441,11865,95454,23663,12914,12873,836703,14805,18226,9996,9238,5404,5805,130233,191877,5299,77050,5005,1493,10291,11687
38,NAYARIT,CML312,101911,621079,888011,282847,916103,2764504,136696,172721,15538,29151,25876,24369,41985,254196,20488,13774,32976,13614,1023991,11518,10409,12268,43491,18557,845218,211684,2363596,1302867,10894,127223,49217,20278,33888,2919844,9077,79316,127446,53084,52549,184936,38433,60830,487995,39368,2995161,38711,1292082,2709054,219648,308834,82454,98757,18788,78023,60023,22175,9623,22471,93107,20968,170113,22848,5550,181287,622941,1250591,145230,462641,340331,63312,50916,760496,25970,60014,123877,675833,39542,20494,9779,11470,269636,15998,264977,79218,14906,220935,578428,40867,20496,113403,963340,146149,30424,724885,15233,9645,31009,299100,122076,18346,129543,8182,32201,31453,17641,10065,882743,24922,17275,13775,9907,4727,7800,107082,235007,6690,88013,8163,880,6196,13670
39,NAYARIT,CML312,104053,579803,865268,232677,1134694,2542768,263181,197528,17877,24297,22055,29240,50123,285943,18266,12697,28098,13250,521578,11329,8800,40398,13497,17611,1051122,1150158,2195152,1157490,10277,40894,45273,19626,31832,2714932,7928,162221,116008,103405,58581,129403,44786,59259,233609,44080,2802518,74866,1189910,2518017,166353,248837,48854,63270,16561,79041,60474,30882,18495,35319,97280,17439,164761,9456,7398,186569,552213,1226283,123763,666808,459841,70810,54035,1099293,24481,55390,119837,666965,46380,23223,17780,12991,235679,4120,229535,79573,12598,174486,1117889,44497,23867,91062,601412,110791,33677,661184,10191,14519,30861,282794,69235,16418,166166,9575,48434,23820,19521,21507,1015479,25973,27436,16292,11326,7348,8230,153606,231101,7489,73653,8148,665,6700,12069
40,METEPEC,PT,156918,545851,882295,202906,401501,830852,70943,112170,5459,18645,20285,17991,69833,323350,24745,32257,76363,24567,1079815,22660,29754,53210,156118,20909,950397,824540,2992049,1453324,12210,121299,221143,63729,66055,3052122,10904,105816,296411,62508,125307,268843,28736,72507,395536,75071,3053354,36060,834317,1920191,308417,358486,115832,68841,26486,146603,209036,24034,5594,25926,200111,38749,202265,17013,6509,484601,611354,1571420,76772,441486,428274,58488,52318,450129,41217,357439,74321,766430,64645,29645,12271,9321,228284,14429,271910,87878,22470,238636,662117,57271,55973,116669,563132,211102,40181,786437,9928,12262,33158,326041,107787,20361,240101,9478,29741,17878,17976,19688,866278,17206,20742,9851,11742,8778,7609,133122,256724,9894,93111,9279,2047,7177,18486
41,METEPEC,PT,86268,402573,639532,162616,474483,1112573,84288,97843,14013,26067,26563,16643,37383,237000,15833,38816,51539,19013,739873,12892,17237,19570,93036,15579,1127057,775261,2337481,1951741,8760,82664,106453,31765,71854,4152463,16185,153975,206695,91258,76286,165424,35149,47793,276848,68598,3934231,43153,973504,2251836,278374,365750,96591,96435,18675,160040,17985,18974,22724,30834,178032,30815,153064,11534,3812,236523,688589,2012163,96182,472270,593679,64653,35041,546115,32066,45438,51514,405459,61568,9508,10558,6680,287423,15403,180206,120516,10709,230321,830551,37122,28367,130429,638616,170814,35457,683182,4236,12464,31273,288059,66330,22599,120274,2559,32256,9394,9100,10321,517144,2864,9237,3808,7100,7876,5883,79245,225047,7082,64118,5924,1548,5627,12102
42,METEPEC,PT,34800,505955,898948,150038,250227,528450,99527,67123,9680,18224,21770,16304,76678,256049,15360,26918,38195,17298,609535,8039,15778,16144,87552,16179,1462879,533602,2142313,1755587,8891,83390,89577,25299,37888,4782147,13833,187443,227377,61017,74817,200646,51566,47999,306132,42328,4847335,61683,467521,2452987,258147,388566,94573,60574,20463,125054,116118,20331,17889,43611,117096,27050,180734,12418,10515,274679,464910,1466624,71444,500295,604690,69582,44763,682065,32339,4414,74014,580641,49947,19475,13943,15819,118045,8982,192113,72464,15810,198553,788398,45731,17351,102124,659992,155047,37190,546552,8542,9279,25315,232919,85849,16753,166422,7491,37632,20007,12186,13312,808906,18160,25896,11418,10599,4765,6053,121983,201079,5788,73713,7980,1554,5344,14126
43,METEPEC,PT,123669,447255,660211,171610,1093889,1328397,114203,125890,10366,33390,32439,24779,63055,250144,16382,20786,27456,10193,531275,8518,3760,15478,40092,17529,1209815,644195,1878883,1396050,7170,83394,50389,18475,26800,4502144,6836,81856,126489,56432,43691,144062,39936,38060,343066,40479,4584751,76640,850769,3297959,249349,296480,61507,53571,22020,91956,58959,18496,9360,31631,93869,16257,150386,11731,5808,105455,554065,1133084,72302,653481,364205,84555,34362,621286,31006,1927,91139,595283,45497,26694,6504,14582,181276,11584,157414,105295,11824,221644,924703,45081,18176,97293,691823,128432,36101,524080,10294,10304,23973,214147,94964,26321,132945,7028,42412,29778,22427,18424,628615,23251,18975,11755,7295,6221,6698,103560,209370,3974,70380,7087,1622,5229,13892
44,METEPEC,PT,277623,383828,881413,151757,242742,515729,79027,82076,5368,20795,13183,23633,81216,322937,15808,31526,40314,15461,401279,12421,10587,72343,79597,16671,1786939,794192,2254316,1631550,8876,62038,140179,11212,55757,4989039,15748,277155,175101,67856,44677,124701,37736,44556,236607,45053,5593919,62015,741453,1942002,218987,309644,91578,47881,15189,152044,110090,8830,17976,31976,113212,26193,134061,10037,10465,179425,468092,1760221,67446,415834,784640,60540,21304,699038,24557,45984,78861,242556,55662,14070,27489,6318,208476,10647,290114,83514,5023,152166,677302,31085,18302,78688,541946,139625,27852,454813,9719,9715,19316,186040,86189,6796,212619,2157,25266,25753,22430,14149,395617,12876,29324,4890,5028,6068,5980,67222,144284,3341,52112,3406,1599,2268,1422
45,METEPEC,PT,151696,717223,1172436,171524,447956,1070878,83805,96935,5933,16703,16927,15337,39657,244914,21092,57685,59414,18576,795782,10637,16322,23016,95100,2825,833210,809423,2313862,1953589,10897,83738,127966,38750,69742,3670469,16918,178204,220511,54460,48373,159296,43917,52802,279329,63777,3248625,43182,927756,2322639,263498,319870,101907,59912,18297,190430,73361,21460,23144,34771,161681,37218,138200,12137,8512,198046,498909,1929139,100483,579562,774981,82637,41804,452038,35814,53239,79885,415736,74533,11883,15197,6291,286056,15031,274631,116196,9322,172419,892178,45568,20204,95086,621842,191043,44932,618178,17689,12256,27149,255482,150010,19060,176689,9457,38905,26497,26040,9301,738358,15034,25198,10151,11111,4887,10106,145618,243377,8784,89076,7015,1620,6923,5352
46,METEPEC,PT,166938,518038,909141,97646,336775,701347,76182,61599,5387,20130,22206,16426,45799,260337,15813,42515,47047,16880,527698,11669,14482,23057,79552,16627,1536399,788301,2053275,1810436,9665,76992,93890,26611,60512,4594504,15416,137615,203728,68284,44782,146788,55948,46837,275294,49889,4484353,54204,766056,2501568,230759,355145,87821,81334,17872,167697,105709,15240,22222,57152,120064,30321,136247,11532,11599,141710,533733,1636025,70242,557452,529521,96354,40384,604480,31451,48352,70582,202504,53064,19176,12471,9945,209125,12597,212639,100483,10887,225434,932871,39638,20801,99182,685109,188947,43750,536931,10377,7487,23533,206559,93590,19492,151536,4108,41349,26543,14907,15421,735294,12060,23813,9306,8213,1100,3217,112208,244718,6625,72514,6087,1553,7542,20908
47,METEPEC,PT,123445,413221,700888,83946,480884,1022876,76428,75377,11529,22113,20372,19630,88446,233019,14437,24440,37210,14056,717338,11590,17026,17723,62795,15365,1659624,708494,2020180,1473335,12478,88707,107720,29512,59857,4761321,17197,109792,160439,70677,46390,131991,43428,45377,281195,50226,4015525,36671,645802,2698525,225226,320435,72746,88248,20069,124120,28274,20513,21576,52077,139037,26977,118530,9495,11013,111057,644433,1503754,72349,786986,444007,86977,28030,695749,31032,37912,101877,161518,63502,17096,10780,12330,167626,13741,236591,118492,13190,246723,1089040,47336,25752,128129,813626,187649,52225,551088,12740,13302,21593,220562,104990,22307,178566,3648,49250,25224,23808,18594,757117,10869,15984,8243,7771,3803,3625,93031,213708,5881,62057,4657,1386,3184,8778
